country,year,co2,co2_per_capita,population,gdp,coal_co2,oil_co2,gas_co2,iso_code,methane,total_ghg,primary_energy_consumption,temperature_change_from_co2
Mozambique,2024,8.613,0.249,34631767.0,,0.039,5.402,1.941,MOZ,27.083,60.429,61.015,0.001
Myanmar,2024,31.603,0.58,54500086.0,,3.264,17.253,7.976,MMR,56.521,185.32,140.265,0.008
Namibia,2024,3.469,1.145,3030127.0,,0.029,2.972,,NAM,6.167,17.756,18.962,0.0
Nauru,2024,0.061,5.13,11968.0,,,0.061,,NRU,0.002,0.064,0.383,0.0
Nepal,2024,18.776,0.633,29651054.0,,7.997,8.489,,NPL,27.906,58.839,52.666,0.001
Netherlands,2024,114.785,6.297,18228740.0,,18.605,40.521,53.669,NLD,19.054,147.205,926.465,0.006
New Caledonia,2024,5.287,18.064,292655.0,,2.843,2.417,,NCL,,,14.05,0.0
New Zealand,2024,32.479,6.229,5213942.0,,5.865,18.869,5.887,NZL,34.596,81.925,233.124,0.003
Nicaragua,2024,5.63,0.814,6916136.0,,,5.441,,NIC,11.545,38.641,26.439,0.002
Niger,2024,3.17,0.117,27032417.0,,0.3,2.663,0.106,NER,30.244,52.135,13.817,0.001
Nigeria,2024,135.824,0.584,232679482.0,,3.049,68.935,40.734,NGA,193.667,384.682,514.906,0.006
Niue,2024,0.008,4.143,1841.0,,,0.008,,NIU,0.001,0.009,0.034,0.0
North Korea,2024,62.55,2.36,26498832.0,,57.153,2.705,,PRK,18.97,89.797,193.469,0.003
North Macedonia,2024,6.62,3.631,1823011.0,,2.454,3.511,0.655,MKD,1.528,8.076,29.569,0.0
Norway,2024,37.183,6.668,5576656.0,,3.851,20.837,10.047,NOR,8.397,56.189,555.626,0.002
Oman,2024,82.662,15.651,5281542.0,,0.023,12.435,63.552,OMN,32.877,117.089,446.875,0.001
Pakistan,2024,179.8,0.716,251269160.0,,45.25,59.735,59.945,PAK,228.614,473.777,888.373,0.003
Palau,2024,0.226,12.76,17719.0,,,0.226,,PLW,0.038,0.294,,0.0
Palestine,2024,4.78,0.87,5495447.0,,,4.78,,PSE,,,27.04,0.0
Panama,2024,12.664,2.805,4515576.0,,1.754,9.432,0.937,PAN,4.23,21.152,104.355,0.001
Papua New Guinea,2024,8.345,0.789,10576509.0,,,6.716,1.612,PNG,3.821,43.588,32.747,0.001
Paraguay,2024,7.937,1.145,6929152.0,,0.0,7.591,,PRY,24.876,66.211,54.795,0.002
Peru,2024,70.247,2.053,34217850.0,,2.363,39.063,22.803,PER,31.677,151.071,374.393,0.004
Philippines,2024,174.878,1.51,115843663.0,,92.142,64.101,8.501,PHL,78.93,305.716,652.563,0.008
Poland,2024,272.862,7.08,38539209.0,,127.311,92.015,38.714,POL,44.502,332.347,1125.569,0.014
Portugal,2024,35.539,3.409,10425291.0,,0.16,24.653,6.925,PRT,10.832,54.189,270.242,0.001
Qatar,2024,125.812,41.271,3048429.0,,0.004,19.364,102.76,QAT,22.491,149.234,653.95,0.001
Romania,2024,68.551,3.605,19015096.0,,8.042,34.462,20.895,ROU,21.646,90.268,355.471,0.005
Russia,2024,1780.524,12.295,144820421.0,,375.647,437.887,857.674,RUS,474.072,2729.235,9049.149,0.096
Rwanda,2024,2.034,0.143,14256573.0,,0.22,1.419,0.083,RWA,4.749,9.716,7.863,0.0
Saint Helena,2024,0.011,2.165,5262.0,,,0.011,,SHN,0.002,0.015,0.044,0.0
Saint Kitts and Nevis,2024,0.26,5.542,46867.0,,,0.26,,KNA,0.051,0.297,1.171,0.0
Saint Lucia,2024,0.537,2.987,179751.0,,,0.537,,LCA,0.06,0.57,2.645,0.0
